N,P,K,temperature,humidity,ph,rainfall,label
26,71,80,18.99525,16.51860,6.07185,87.05047,chickpea
21,55,16,21.18731,22.86875,5.74471,115.68114,kidneybeans
30,71,21,17.43431,23.51336,5.65999,103.54140,kidneybeans
19,65,16,19.01861,24.16858,5.72750,111.45524,kidneybeans
33,70,22,17.15174,21.61114,5.72477,88.94829,kidneybeans
20,60,25,23.00780,21.90226,5.69864,130.00579,kidneybeans
26,72,21,19.26190,24.59751,5.62648,127.39121,kidneybeans
18,74,18,17.88451,21.60527,5.55959,141.56477,kidneybeans
37,70,22,18.79044,21.57973,5.67984,136.21558,kidneybeans
34,65,24,19.78918,21.28285,5.69176,145.47466,kidneybeans
31,73,15,19.14175,23.47353,5.70035,140.75168,kidneybeans
19,68,23,20.04614,21.13880,5.53186,108.68302,kidneybeans
22,72,23,24.91461,62.55441,5.55536,127.47294,pigeonpeas
35,65,22,27.74797,60.03054,6.73276,182.56163,pigeonpeas
17,72,18,36.51268,57.99713,5.22384,181.41905,pigeonpeas
37,79,19,35.40552,50.77491,6.50503,138.83515,pigeonpeas
38,72,18,26.79534,51.83559,6.03982,100.28896,pigeonpeas
18,57,21,27.42061,64.21528,5.78906,177.56842,pigeonpeas
36,66,22,27.56066,54.40748,6.86315,191.07723,pigeonpeas
35,63,22,34.81977,63.14917,6.84074,195.42678,pigeonpeas
22,67,20,31.46522,61.28045,6.60877,142.06909,pigeonpeas
19,68,21,35.21463,49.69741,6.71261,194.70451,pigeonpeas
22,46,23,27.97545,51.81057,6.46744,35.08634,mothbeans
38,58,25,27.54385,51.25404,7.12574,53.88681,mothbeans
17,45,21,28.84279,53.64937,8.23275,64.26786,mothbeans
25,48,22,28.51461,54.67389,8.96744,38.25841,mothbeans
21,57,23,27.87229,58.33089,8.75625,60.55172,mothbeans
26,45,22,29.13045,43.20547,7.21858,63.50731,mothbeans
35,46,18,29.94797,64.03054,6.73276,42.56163,mothbeans
24,52,20,28.79534,48.83559,7.03982,49.28896,mothbeans
20,53,19,27.91461,62.55441,7.55536,47.47294,mothbeans
22,59,21,28.61868,85.65345,6.71545,40.16472,mungbean
23,45,19,27.18222,86.50444,6.58663,52.47724,mungbean
21,52,18,29.54419,85.72621,6.91858,45.75164,mungbean
38,58,25,27.54385,88.25404,6.82574,53.88681,mungbean
23,59,20,29.99840,85.34098,6.81845,43.43794,mungbean
24,58,24,28.87891,87.18784,6.67253,50.83381,mungbean
39,67,19,29.91461,65.55441,7.15536,67.47294,blackgram
42,75,20,31.74797,64.03054,7.33276,62.56163,blackgram
35,72,18,28.51268,67.99713,7.22384,71.41905,blackgram
47,69,19,25.40552,60.77491,7.10503,68.83515,blackgram
38,62,18,26.79534,61.83559,7.03982,65.28896,blackgram
21,68,20,25.91461,64.55441,6.85536,47.47294,lentil
18,75,19,24.74797,65.03054,6.93276,42.56163,lentil
22,72,18,26.51268,67.99713,7.22384,51.41905,lentil
19,69,21,28.40552,62.77491,7.10503,38.83515,lentil
24,62,18,23.79534,64.83559,6.73982,45.28896,lentil
22,20,38,22.61360,92.69071,6.44991,107.75954,pomegranate
18,17,41,21.10018,91.57477,6.33175,102.26624,pomegranate
25,23,39,23.55882,90.59735,6.65796,106.71996,pomegranate
19,18,40,19.97216,88.68273,6.59606,110.65172,pomegranate
21,21,42,20.47891,89.18784,6.27253,108.83381,pomegranate
100,75,50,27.33532,80.12345,5.92345,102.45678,banana
105,82,53,28.10018,79.57477,6.13175,112.26624,banana
95,88,48,26.55882,81.59735,5.85796,96.71996,banana
110,80,52,27.97216,80.68273,6.09606,108.65172,banana
92,85,49,26.47891,82.18784,5.77253,105.83381,banana
22,25,31,31.61360,50.69071,5.74991,94.75954,mango
19,30,28,33.10018,48.57477,5.93175,98.26624,mango
24,28,32,29.55882,52.59735,6.15796,92.71996,mango
18,22,29,32.97216,49.68273,5.69606,96.65172,mango
21,27,30,30.47891,51.18784,5.87253,95.83381,mango
23,130,200,22.61360,82.69071,6.14991,69.75954,grapes
20,135,198,24.10018,81.57477,5.93175,71.26624,grapes
25,128,202,21.55882,83.59735,6.25796,67.71996,grapes
19,132,201,23.97216,81.68273,5.89606,70.65172,grapes
22,131,199,25.47891,80.18784,6.07253,68.83381,grapes
99,18,50,25.61360,85.69071,6.44991,50.75954,watermelon
102,15,52,26.10018,84.57477,6.63175,48.26624,watermelon
95,22,48,24.55882,86.59735,6.35796,52.71996,watermelon
105,16,51,25.97216,85.68273,6.59606,49.65172,watermelon
98,19,49,24.47891,87.18784,6.47253,53.83381,watermelon
101,17,50,28.61360,92.69071,6.34991,24.75954,muskmelon
98,15,52,29.10018,91.57477,6.43175,26.26624,muskmelon
105,19,48,27.55882,93.59735,6.25796,22.71996,muskmelon
97,16,51,28.97216,92.68273,6.39606,25.65172,muskmelon
102,18,49,28.47891,94.18784,6.27253,23.83381,muskmelon
22,135,200,22.61360,92.69071,5.94991,112.75954,apple
20,132,198,23.10018,91.57477,6.03175,115.26624,apple
25,138,202,21.55882,93.59735,5.85796,108.71996,apple
19,130,201,22.97216,92.68273,5.99606,114.65172,apple
23,136,199,21.47891,94.18784,5.87253,110.83381,apple
21,16,10,22.61360,92.69071,7.04991,110.75954,orange
18,14,12,23.10018,91.57477,7.13175,112.26624,orange
24,18,9,21.55882,93.59735,6.85796,108.71996,orange
19,15,11,22.97216,92.68273,6.99606,114.65172,orange
22,17,10,24.47891,90.18784,7.07253,109.83381,orange
50,60,50,33.61360,92.69071,6.74991,142.75954,papaya
48,58,52,34.10018,91.57477,6.83175,148.26624,papaya
55,62,48,32.55882,93.59735,6.65796,138.71996,papaya
47,55,51,35.97216,90.68273,6.79606,155.65172,papaya
52,64,49,31.47891,94.18784,6.77253,140.83381,papaya
22,17,30,27.61360,95.69071,5.94991,175.75954,coconut
19,15,32,28.10018,94.57477,6.03175,182.26624,coconut
25,19,28,26.55882,96.59735,5.85796,168.71996,coconut
18,16,31,27.97216,95.68273,6.09606,179.65172,coconut
23,18,29,26.47891,97.18784,5.87253,170.83381,coconut
118,46,20,24.01360,79.89071,6.94991,80.45954,cotton
115,48,22,24.80018,78.57477,7.13175,85.26624,cotton
122,42,18,23.25882,81.59735,6.75796,76.71996,cotton
112,50,21,25.17216,77.68273,7.09606,88.65172,cotton
120,44,19,23.47891,82.18784,6.87253,78.83381,cotton
78,47,40,25.01360,79.69071,6.74991,174.85954,jute
75,49,42,25.80018,78.57477,6.83175,180.26624,jute
82,44,38,24.25882,81.59735,6.65796,168.71996,jute
74,51,41,26.17216,77.68273,6.89606,182.65172,jute
80,45,39,24.47891,82.18784,6.67253,170.83381,jute
101,29,30,25.51360,58.99071,6.74991,158.15954,coffee
98,32,32,26.10018,57.57477,6.83175,165.26624,coffee
105,27,28,24.55882,60.59735,6.65796,152.71996,coffee
96,31,31,26.87216,56.68273,6.89606,170.65172,coffee
103,28,29,24.97891,61.18784,6.67253,150.83381,coffee
